#iata,airport,city,state,country
4I7,Putnam County,Greencastle,IN,USA
4I9,Morrow County,Mt. Gilead,OH,USA
4J1,Brantley County,Nahunta,GA,USA
4J2,Berrien County,Nashville,GA,USA
4J5,Quitman-Brooks County,Quitman,GA,USA
4J6,St Marys,St Marys,GA,USA
4K0,Pedro Bay,Pedro Bay,AK,USA
4K5,Ouzinkie,Ouzinkie,AK,USA
4K6,Bloomfield Municipal,Bloomfield,IA,USA
4KA,Tununak,Tununak,AK,USA
4M1,Carroll County,Berryville,AR,USA
4M3,Carlisle Municipal,Carlisle,AR,USA
4M4,Clinton Municipal,Clinton,AR,USA
4M7,Russellville-Logan County,Russellville,KY,USA
4M8,Clarendon Municipal,Clarendon,AR,USA
4M9,Corning Municipal,Corning,AR,USA
4N1,Greenwood Lake,West Milford,NJ,USA
4O3,Blackwell-Tonkawa Municipal,Blackwell-Tonkawa,OK,USA
4O4,McCurtain County Regional,Idabel,OK,USA
4O5,Cherokee Municipal,Cherokee,OK,USA
4PH,Polacca,Polacca,AZ,USA
4R1,I H Bass Jr Memorial,Lumberton,MS,USA
4R3,Jackson Municipal,Jackson,AL,USA
4R4,Fairhope Municipal,Fairhope,AL,USA
4R5,Madeline Island,La Pointe,WI,USA
4R7,Eunice,Eunice,LA,USA
4R9,Dauphin Island,Dauphin Island,AL,USA
4S1,Gold Beach Muni,Gold Beach,OR,USA
4S2,Hood River,Hood River,OR,USA
4S3,Joseph State,Joseph,OR,USA
4S9,Portland-Mulino,Mulino (Portland),OR,USA
4SD,Reno/Stead,Reno,NV,USA
4T6,Mid-Way,Midlothian-Waxahachie,TX,USA
4U3,Liberty County,Chester,MT,USA
4U6,Circle Town County,Circle,MT,USA
4V0,Rangely,Rangely,CO,USA
4V1,Johnson,Walsenburg,CO,USA
4V9,Antelope County,Neligh,NE,USA
4W1,Elizabethtown Municipal,Elizabethtown,NC,USA
4Z4,Holy Cross,Holy Cross,AK,USA
4Z7,Hyder SPB,Hyder,AK,USA
50I,Kentland Municipal,Kentland,IN,USA
50J,Berkeley County,Moncks Corner,SC,USA
50K,Pawnee City Municipal,Pawnee City,NE,USA
50R,Lockhart Municipal,Lockhart,TX,USA
51D,Edgeley Municipal,Edgeley,ND,USA
51Z,Minto (New),Minto,AK,USA
52A,Madison Municipal,Madison,GA,USA
52E,Timberon,Timberon,NM,USA
52J,Lee County,Bishopville,SC,USA
53A,Dr. C.P. Savage, Sr.,Montezuma,GA
53K,Osage City Municipal,Osage City,KS,USA
54J,Defuniak Springs,Defuniak Springs,FL,USA
55D,Grayling Army Airfield,Grayling,MI,USA
55J,Fernandina Beach Municipal,Fernandina Beach,FL,USA
55S,Packwood,Packwood,WA,USA
56D,Wyandot County,Upper Sandusky,OH,USA
56M,Warsaw Municipal,Warsaw,MO,USA
56S,Seaside Municipal,Seaside,OR,USA
57B,Islesboro,Islesboro,ME,USA
57C,East Troy Municipal,East Troy,WI,USA
59B,Newton,Jackman,ME,USA
5A4,Okolona Mun.-Richard M. Stovall,Okolona,MS,USA
5A6,Winona-Montgomery County,Winona,MS,USA
5A8,Aleknagik,Aleknagik,AK,USA
5A9,Roosevelt Memorial,Warm Springs,GA,USA
5B2,Saratoga Cty,Saratoga Springs,NY,USA
5B3,Danielson,Danielson,CT,USA
5B7,Rensselaer Air Park,Troy,NY,USA
5CD,Chandalar Shelf,Chandalar Camp,AK,USA
5D3,Owosso Community,Owosso,MI,USA
5F1,Post-Garza County Municipal,Post,TX,USA
5F4,Homer Municipal,Homer,LA,USA
5G0,Leroy,Le Roy,NY,USA
5G7,Bluffton,Bluffton,OH,USA
5G8,Pittsburgh Boquet Airpark,Jeanette,PA,USA
5G9,Toledo Suburban,Lambertville,MI,USA
5HO,Hope,Hope,AK,USA
5I4,Sheridan,Sheridan,IN,USA
5J0,John Day State,John Day,OR,USA
5J9,Twin City,Loris,SC,USA
5K2,Tribune Municipal,Tribune,KS,USA
5M0,Rountree,Hartselle,AL,USA
5M1,De Witt Municipal,De Witt,AR,USA
5M4,Fordyce Municipal,Fordyce,AR,USA
5M9,Marion-Crittenden County,Marion,KY,USA
5N8,Casselton Regional,Casselton,ND,USA
5ND6,Hillsboro Municipal,Hillsboro,ND,USA
5NI,Nikolai,Nikolai,AK,USA
5NK,Naknek,Naknek,AK,USA
5NN,Nondalton,Nondalton,AK,USA
5R3,Rusty Allen,Lago Vista,TX,USA
5R4,Foley Municipal,Foley,AL,USA
5R5,Wharton Municipal,Wharton,TX,USA
5R8,De Quincy Industrial Airpark,De Quincy,LA,USA
5S8,St. Michael,St. Michael,AK,USA
5T5,Hillsboro Municipal,Hillsboro,TX,USA
5T6,Dona Ana County  At Santa Teresa,Santa Teresa,NM,USA
5T9,Maverick County Meml Intl,Eagle Pass,TX,USA
5TE,Tetlin,Tetlin,AK,USA
5U3,Ennis - Big Sky,Ennis,MT,USA
5U8,Geraldine,Geraldine,MT,USA
5V5,Shiprock Airstrip,Shiprock,NM,USA
5V8,Kadoka Municipal,Kadoka,SD,USA
5W8,Siler City Municipal,Siler City,NC,USA
5Z1,Juneau Harbor,Juneau,AK,USA
5Z5,Kantishna,Kantishna,AK,USA
60F,Seymour Municipal,Seymour,TX,USA
60J,Ocean Isle,Ocean Isle Beach,NC,USA
61A,Camden Municipal,Camden,AL,USA
61B,Boulder City Municipal,Boulder City,NV,USA
61C,Fort Atkinson Municipal,Fort Atkinson,WI,USA
61J,Portland Downtown Heliport,Portland,OR,USA
61S,Cottage Grove State,Cottage Grove,OR,USA
62D,Warren,Warren,OH,USA
62H,Giddings-Lee County,Giddings,TX,USA
62S,Christmas Valley,Christmas Valley,OR,USA
63A,Lloyd R. Roundtree Seaplane Facility,Petersburg,AK,USA
63C,Adams County Legion,Adams/Friendship,WI,USA
63S,Colville Municipal,Colville,WA,USA
65J,Wrens Memorial,Wrens,GA,USA
65S,Boundary County,Bonners Ferry,ID,USA
66D,Sturgis Municipal,Sturgis,SD,USA
67L,Mesquite,Mesquite,NV,USA
68A,Wrangell SPB,Wrangell,AK,USA
68S,Davenport,Davenport,WA,USA
6A1,Butler Municipal,Butler,GA,USA
6A2,Griffin-Spaulding County,Griffin,GA,USA
6A3,Andrews-Murphy,Andrews,NC,USA
